id,user,name,queue,applicationType,startedTime,finishedTime,elapsedTime,memorySeconds,vcoreSeconds
application_1713394090403_0059,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-19 13:50:05,2024-04-19 14:41:10,51.074200000000005,637221469,46275
application_1713394090403_0056,hadoop,HIVE-22f26e44-93d7-4e09-ba56-8eca5e877580,default,TEZ,2024-04-19 09:33:34,2024-04-19 10:06:16,32.689566666666664,1406263053,184066
application_1713394090403_0057,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-19 10:53:57,2024-04-19 12:30:33,96.59975,8683929583,301740
application_1713394090403_0054,hadoop,HIVE-c9f5df6e-d614-45e7-aaaa-4dc4575ce78d,default,TEZ,2024-04-19 06:22:41,2024-04-19 06:23:09,0.46726666666666666,540095,42
application_1713394090403_0055,hadoop,HIVE-1de7b52a-68cc-4f54-aa02-6464c404bfc9,default,TEZ,2024-04-19 09:33:20,2024-04-19 09:33:24,0.05831666666666667,52033,3
application_1713394090403_0064,hadoop,HIVE-adc98c1c-7792-4f42-8866-045a18a318b7,default,TEZ,2024-04-20 00:01:09,2024-04-20 00:01:13,0.058916666666666666,51278,3
application_1713394090403_0065,hadoop,HIVE-2cc8b81f-d0d8-4ca9-8da4-624595688d29,default,TEZ,2024-04-20 00:01:23,2024-04-20 00:01:24,0.020233333333333332,16372,1
application_1713394090403_0062,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-19 16:44:05,2024-04-19 17:46:43,62.6463,10947022738,697335
application_1713394090403_0063,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-19 17:55:34,1970-01-01 00:00:00,2354.4035166666667,17811826618,701701
application_1713394090403_0008,root,Thrift JDBC/ODBC Server,default,SPARK,2024-04-18 11:07:55,1970-01-01 00:00:00,185.99228333333335,15978919795,555824
